Date,High,Low,Open,Close,VOLUME,Adj Close
04.10.2016,77542.11,76899.12,77326.61,77057.77,856078800,77057.77
05.10.2016,77970.77,76484.84,76712.85,77853.65,924602800,77853.65
06.10.2016,78605.55,77842.34,78191.39,77894.72,765010000,77894.72
07.10.2016,78500.4,77676.06,78102.03,77975.99,603578400,77975.99
10.10.2016,78506.06,77682.75,78296.85,77835.29,808060200,77835.29
11.10.2016,77889.55,77280.27,77773.52,77643.59,845213600,77643.59
12.10.2016,78099.62,77146.46,77903.57,77461.27,828680600,77461.27
13.10.2016,77602.2,76612.52,77469.73,76810.31,867792300,76810.31
14.10.2016,77677.29,76756.51,77091.31,77554.21,738521400,77554.21
17.10.2016,77675.58,76991.21,77418.46,77437.58,697141100,77437.58
18.10.2016,78462.3,77796.29,77796.29,78340.39,867476300,78340.39
19.10.2016,79277.56,78543.54,78675.88,79209.85,746072200,79209.85
20.10.2016,79541.38,79061.55,79355.32,79252.41,745779100,79252.41
21.10.2016,79335.26,78711.75,79310.89,78843.66,547185500,78843.66
24.10.2016,80065.22,79204.51,79242.08,79932.55,587620600,79932.55
25.10.2016,80290.93,79360.31,79914.91,79433.31,730625500,79433.31
26.10.2016,79667,79023.84,79492.59,79397.94,792528600,79397.94
27.10.2016,79492.54,78641.16,79343.26,78739.17,639710100,78739.17
28.10.2016,78736.67,78071.36,78593.06,78332.87,312981800,78332.87
31.10.2016,78861.13,78196.52,78558.95,78536.17,517851900,78536.17
01.11.2016,78957,77376.53,78801.98,77428.56,736650300,77428.56
02.11.2016,77611.94,77155.8,77341.07,77171.59,561759100,77171.59
03.11.2016,77554.59,76612.34,77324.88,76681.37,587001500,76681.37
04.11.2016,75992.23,74238.81,75805.47,74267.17,954161500,74267.17
07.11.2016,75899.94,75201.51,75201.51,75681.96,693605400,75681.96
08.11.2016,76413.32,75193.41,75646.3,76367.79,791300000,76367.79
09.11.2016,76259.76,74509.21,74561.69,76208.97,1061052000,76208.97
10.11.2016,77108.02,76360.36,76881.12,76360.36,832121600,76360.36
11.11.2016,76427.78,75174.17,76218,75174.17,732588200,75174.17
14.11.2016,75489.95,74292.46,75397.12,74419.1,692611400,74419.1
15.11.2016,75309.76,74628.7,74735.19,75150.56,644197400,75150.56
16.11.2016,75410.56,74399.06,75347.02,74759.06,605753100,74759.06
17.11.2016,75688.61,74856.53,74991.46,75136.22,638517600,75136.22
18.11.2016,75783.93,74495.84,74918.31,75638.96,642978100,75638.96
21.11.2016,75937.65,75193.53,75880.58,75543.57,552837400,75543.57
22.11.2016,76215.84,75415.32,75529.52,75811.99,549223000,75811.99
23.11.2016,76173.42,74976.9,76081.01,75036.9,569756000,75036.9
24.11.2016,75867.32,74104.58,74972.62,74193.07,992777600,74193.07
25.11.2016,74597.99,73752.67,74067.49,74363.45,556705300,74363.45
28.11.2016,75332.99,74907.16,74999.68,74990.23,518657100,74990.23
29.11.2016,75120.1,74197.72,74845.44,74205.48,589915500,74205.48
30.11.2016,74561.82,73631.28,74499.72,73995.2,628684600,73995.2
01.12.2016,74094.39,72336.02,74059.62,72519.85,843855400,72519.85
02.12.2016,73545.28,71792.96,72657.68,73390.94,780146200,73390.94
05.12.2016,74169.65,73014.12,73068.65,73599.7,660796200,73599.7
06.12.2016,75446.11,73991.27,73991.27,75433.34,722613000,75433.34
07.12.2016,76123.78,75194.11,75434.41,76030.78,753912800,76030.78
